ax,ay,az,gx,gy,gz
-0.6572,-0.8428,-0.1143,17.7557,17.6641,-67.8015
-0.6438,-0.8469,-0.1091,15.8779,14.1603,-66.9924
-0.6338,-0.8552,-0.1030,14.5802,10.4351,-66.7328
-0.6233,-0.8691,-0.1042,13.8092,6.9924,-66.4427
-0.6086,-0.8818,-0.0994,13.4504,4.0534,-65.9084
-0.5906,-0.8984,-0.1040,13.1374,1.7939,-65.1221
-0.5737,-0.9199,-0.1125,12.9618,0.0458,-64.2748
-0.5698,-0.9426,-0.1252,12.8855,-1.6641,-63.1756
-0.5667,-0.9736,-0.1289,13.1069,-3.2824,-62.2290
-0.5706,-0.9951,-0.1379,13.8550,-5.2137,-60.7481
-0.5566,-1.0161,-0.1501,14.3740,-6.8244,-58.8092
-0.5354,-1.0217,-0.1616,14.8015,-8.4198,-56.2672
-0.5171,-1.0164,-0.1682,15.0000,-9.7710,-53.0458
-0.4814,-1.0154,-0.1699,14.8702,-10.3206,-49.3282
-0.4536,-1.0117,-0.1716,14.5267,-9.8702,-44.8855
-0.4170,-1.0146,-0.1677,13.8779,-8.4046,-40.0076
-0.3860,-1.0188,-0.1655,13.1145,-6.9771,-34.9618
-0.3643,-1.0137,-0.1680,11.8321,-4.7252,-29.6183
-0.3481,-1.0015,-0.1562,10.4504,-3.0992,-24.5344
-0.3447,-0.9998,-0.1548,8.7863,-1.3206,-18.9237
-0.3411,-0.9961,-0.1460,7.0000,-0.3740,-13.6336
-0.3462,-0.9822,-0.1387,5.3359,-0.0916,-8.2977
-0.3467,-0.9739,-0.1331,3.6718,0.0000,-3.0229
-0.3496,-0.9631,-0.1270,1.9771,-0.1221,2.1145
-0.3525,-0.9675,-0.1257,0.3053,-0.5496,7.1298
-0.3689,-0.9675,-0.1248,-1.1527,-1.1145,11.8321
-0.3723,-0.9673,-0.1311,-2.6031,-2.1221,15.9771
-0.3877,-0.9583,-0.1353,-4.0763,-3.8931,19.7328
-0.3938,-0.9541,-0.1438,-5.4885,-5.9084,22.9542
-0.3997,-0.9531,-0.1455,-6.9466,-8.2290,25.7557
-0.4021,-0.9568,-0.1509,-8.2595,-10.7786,28.0382
-0.4158,-0.9565,-0.1528,-9.3969,-13.5191,29.8779
-0.4194,-0.9619,-0.1509,-10.3817,-16.2977,31.1069
-0.4285,-0.9692,-0.1519,-11.2595,-19.4580,32.0687
-0.4324,-0.9700,-0.1575,-11.7786,-22.7557,32.5878
-0.4316,-0.9692,-0.1531,-12.1527,-25.8550,33.0382
-0.4307,-0.9705,-0.1548,-12.4122,-28.4046,33.1756
-0.4243,-0.9685,-0.1555,-12.5649,-30.6489,33.4351
-0.4180,-0.9683,-0.1499,-12.5344,-32.3282,33.6412
-0.4146,-0.9697,-0.1531,-12.4580,-33.6107,34.0153
-0.3982,-0.9670,-0.1519,-12.3130,-34.7176,34.5725
-0.3936,-0.9753,-0.1528,-12.1145,-35.5267,35.3511
-0.3809,-0.9783,-0.1548,-11.9389,-35.4504,36.6031
-0.3586,-0.9783,-0.1572,-12.0916,-35.2748,37.7099
-0.3501,-0.9863,-0.1543,-11.8931,-34.9313,38.4809
-0.3481,-0.9856,-0.1562,-11.6336,-34.9466,38.9771
-0.3477,-0.9744,-0.1592,-11.4656,-35.3740,39.3893
-0.3484,-0.9844,-0.1575,-11.2366,-35.7481,40.3206
-0.3376,-0.9939,-0.1575,-10.9008,-35.9160,41.8855
-0.3281,-1.0002,-0.1621,-10.6641,-35.6794,43.5954
-0.3303,-1.0007,-0.1611,-10.4351,-34.8015,46.0000
-0.3154,-0.9946,-0.1589,-10.4198,-33.8015,48.5802
-0.2996,-0.9866,-0.1592,-10.3817,-32.1908,50.6107
-0.3005,-0.9895,-0.1658,-10.4351,-30.5344,51.7176
-0.3125,-0.9893,-0.1643,-10.2061,-28.4733,52.3053
-0.3196,-0.9934,-0.1687,-10.2748,-26.7328,52.3817
-0.3274,-0.9954,-0.1646,-10.1908,-25.2137,51.8779
-0.3323,-0.9976,-0.1604,-10.2214,-23.8168,51.2290
-0.3413,-1.0098,-0.1592,-10.1985,-22.2824,50.3969
-0.3516,-1.0142,-0.1548,-10.2595,-20.8168,49.2366
-0.3540,-1.0024,-0.1475,-10.3359,-19.1374,47.9695
-0.3638,-1.0015,-0.1348,-10.5649,-17.9008,46.7710
-0.3628,-0.9924,-0.1216,-10.8015,-17.0153,45.8244
-0.3557,-0.9761,-0.0979,-11.2137,-15.8626,44.8702
-0.3445,-0.9536,-0.0657,-11.1298,-14.7710,43.7634
