ax,ay,az,gx,gy,gz
-0.0366,-1.0256,0.3049,36.3435,-3.5725,-22.9313
-0.0598,-1.0496,0.2766,40.6489,6.1679,-27.7252
-0.1106,-1.0598,0.2617,44.6870,15.7176,-31.8931
-0.1624,-1.0759,0.2593,48.3206,24.5344,-35.6260
-0.1858,-1.1174,0.2573,51.4809,33.4275,-39.6336
-0.2041,-1.1794,0.2493,54.4122,43.0992,-43.6870
-0.2651,-1.2166,0.2271,57.7863,53.1679,-46.8321
-0.3452,-1.1924,0.1919,60.8931,62.0687,-48.6260
-0.4053,-1.1189,0.1521,62.6260,69.1908,-49.3282
-0.4485,-1.0391,0.1248,62.6718,74.4885,-48.9618
-0.4839,-0.9761,0.1025,61.4733,78.3130,-48.0687
-0.4995,-0.9299,0.0947,58.9924,80.7099,-46.9313
-0.5059,-0.9063,0.0854,55.7939,81.3817,-45.8397
-0.5249,-0.8745,0.0869,51.8397,79.2519,-45.0076
-0.5500,-0.8750,0.0779,47.9618,74.6260,-45.7634
-0.5352,-0.9031,0.0864,43.6718,68.7481,-46.9542
-0.5454,-0.9382,0.0786,39.4504,62.2595,-49.3511
-0.5557,-0.9685,0.0754,35.2290,56.8702,-52.4122
-0.5679,-1.0051,0.0664,31.1679,52.5725,-55.8092
-0.5874,-1.0237,0.0688,27.5954,48.3588,-59.4962
-0.5889,-1.0332,0.0730,24.6718,44.2366,-63.4275
-0.5940,-1.0178,0.0728,22.2519,40.7023,-67.5191
-0.5823,-0.9844,0.0684,20.0992,37.5115,-71.4046
-0.5637,-0.9453,0.0667,18.2443,34.8015,-74.8092
-0.5579,-0.9028,0.0601,16.4427,32.3282,-77.4275
-0.5391,-0.8694,0.0525,14.8244,30.0916,-79.3435
-0.5398,-0.8320,0.0586,13.2901,27.9847,-80.6794
-0.5278,-0.8062,0.0542,11.8855,26.2137,-80.9924
-0.5107,-0.7725,0.0547,10.3053,24.7481,-81.1374
-0.4929,-0.7485,0.0581,8.9313,23.8855,-80.7557
-0.4736,-0.7295,0.0566,7.7023,23.5725,-80.0534
-0.4583,-0.7295,0.0605,6.2366,23.8626,-79.3664
-0.4434,-0.7371,0.0625,4.9313,24.8397,-78.3969
-0.4329,-0.7466,0.0642,3.8473,26.2901,-77.3511
-0.4263,-0.7544,0.0679,2.8244,28.5114,-76.3511
-0.4238,-0.7673,0.0720,1.7710,31.1221,-75.5115
-0.4192,-0.7727,0.0728,1.0840,33.7405,-74.8168
-0.4160,-0.7837,0.0764,0.4046,36.3740,-74.4122
-0.4136,-0.8018,0.0632,-0.1298,38.8015,-74.2901
-0.4150,-0.8252,0.0518,-0.2214,41.2901,-74.2290
-0.4192,-0.8545,0.0525,-1.1908,42.8168,-74.5267
-0.4226,-0.8896,0.0488,-1.7099,44.4809,-74.7328
-0.4414,-0.9160,0.0447,-2.2137,45.9160,-74.8321
-0.4709,-0.9343,0.0474,-3.0992,47.1298,-74.4504
-0.4873,-0.9456,0.0476,-3.9695,47.7786,-73.7023
-0.5215,-0.9614,0.0676,-4.9771,47.7939,-71.9695
-0.5466,-0.9829,0.0918,-5.8092,47.1832,-69.1069
-0.5674,-1.0037,0.0991,-6.5573,46.3053,-65.3969
-0.5771,-1.0291,0.1091,-7.5191,44.6641,-60.9389
-0.5952,-1.0398,0.1111,-8.4351,41.5420,-55.8626
-0.6191,-1.0596,0.1121,-9.3664,37.2519,-50.1450
-0.6292,-1.0845,0.1316,-10.1527,33.0916,-43.7557
-0.5984,-1.1250,0.1436,-10.9084,30.0229,-37.0305
-0.5527,-1.1721,0.1538,-12.1221,28.6565,-30.6183
-0.5090,-1.2395,0.1750,-13.1145,28.3359,-24.7099
-0.4690,-1.2888,0.2329,-14.4580,29.8015,-17.2748
-0.4812,-1.3064,0.2856,-14.8244,30.5420,-13.7252
-0.5212,-1.3208,0.3394,-14.7939,30.6412,-9.9313
-0.5454,-1.3462,0.3716,-14.4885,29.9160,-6.1908
-0.5737,-1.3677,0.3708,-14.0687,28.5038,-2.0916
-0.6067,-1.3726,0.3647,-13.2595,25.7252,2.5802
-0.6311,-1.3848,0.3535,-12.0992,20.8931,7.8702
-0.6301,-1.4031,0.3279,-10.9695,13.9313,14.1221
