ax,ay,az,gx,gy,gz
0.3591,-0.3049,0.1965,-24.6870,58.6107,-88.9237
0.3706,-0.4019,0.1587,-26.6336,66.3359,-108.6183
0.3479,-0.5432,0.1345,-27.7863,71.9695,-130.7863
0.3218,-0.7278,0.1252,-27.8626,77.3893,-154.0305
0.2725,-0.9485,0.1375,-26.5725,83.8473,-177.8321
0.2107,-1.1909,0.1501,-23.4122,92.4809,-200.0000
0.1426,-1.4224,0.1616,-18.9771,103.6641,-221.3053
0.0417,-1.6716,0.1665,-12.6565,116.7939,-241.4122
-0.0422,-1.8940,0.1521,-4.7252,129.0153,-250.1374
-0.1130,-2.0979,0.1172,4.4962,139.5038,-250.1374
-0.2041,-2.3315,0.0659,14.9847,147.6107,-250.1374
-0.2910,-2.5798,-0.0007,25.9160,152.2366,-250.1374
-0.3530,-2.8450,-0.0549,36.7176,153.2901,-250.1374
-0.4282,-3.1399,-0.1021,46.8473,151.9695,-250.1374
-0.5254,-3.4409,-0.1372,56.3359,149.2672,-250.1374
-0.6907,-3.7556,-0.1555,64.5954,144.6107,-250.1374
-0.9783,-3.9160,-0.1326,72.5191,140.7557,-250.1374
-1.3923,-4.1741,-0.0596,79.0534,130.9237,-250.1374
-2.0349,-4.2002,0.0688,84.3435,126.4427,-250.1374
-2.8267,-3.9185,-0.3308,89.6718,139.6183,-229.5725
-3.5781,-2.8914,-0.2410,81.7328,135.6183,-146.8015
-1.6792,-2.1541,-0.1821,82.9466,77.0992,-96.4580
-0.3862,-1.9233,-0.0542,71.3130,25.4275,-75.5802
-0.5076,-1.7444,-0.1877,51.5344,-7.5802,-57.1069
-0.4609,-1.3123,-0.3079,28.0840,-15.3817,-40.0534
-0.4690,-1.2954,-0.1985,13.4122,-24.8931,-31.3282
-0.5303,-1.5554,-0.1106,11.9924,-38.0687,-20.5114
-0.5256,-1.8445,-0.0764,18.5573,-41.3435,-19.6336
-0.6616,-1.9380,-0.0706,20.3664,-38.6489,-17.7557
