ax,ay,az,gx,gy,gz
-1.0391,-2.7332,0.1255,-69.2595,128.4657,215.2748
-1.0024,-2.7788,0.1721,-75.6260,65.7252,215.3893
-0.8960,-2.7646,0.1843,-75.1145,1.9847,215.6641
-0.6965,-2.6895,0.1721,-69.7328,-53.2748,216.2595
-0.4985,-2.5461,0.1558,-62.5802,-97.8702,216.2977
-0.3176,-2.4238,0.1113,-53.6565,-131.6870,214.3282
-0.1799,-2.2783,0.0864,-43.1374,-152.3664,209.2519
-0.0571,-2.1052,0.0867,-31.3740,-162.8779,202.7634
0.0896,-1.8999,0.0911,-20.0687,-163.4580,195.1756
0.2095,-1.6719,0.0945,-10.3969,-156.2672,186.7252
0.3088,-1.4690,0.0947,-2.6260,-142.3130,177.3740
0.4202,-1.2888,0.1082,3.5115,-121.9160,167.3130
0.5234,-1.1191,0.1335,7.7405,-97.0840,156.3588
0.6086,-0.9646,0.1836,10.4275,-70.0534,143.8015
0.6792,-0.8115,0.1963,11.3511,-41.9237,131.0992
0.6750,-0.6331,0.2144,11.3740,-13.9618,118.7863
0.6631,-0.4907,0.2112,9.7557,11.4046,105.7328
0.6323,-0.3894,0.2061,7.4580,32.5420,92.6870
0.5823,-0.3083,0.2017,5.2595,49.4885,79.8092
0.5369,-0.2305,0.1951,3.6336,62.9618,66.6565
0.4763,-0.1685,0.1951,2.3359,72.0840,53.8931
0.4160,-0.1252,0.2109,1.8168,76.7252,41.3206
0.1438,0.0144,0.3013,16.3511,39.5954,-38.0611
0.1160,0.0020,0.3125,19.5191,31.0534,-51.0229
0.1235,0.0134,0.3037,22.2748,22.9618,-65.2519
0.1309,0.0017,0.3079,24.1298,16.3359,-79.7786
0.1509,-0.0354,0.3159,25.5649,11.2519,-95.0763
0.1753,-0.0693,0.3147,26.3588,7.6565,-111.0916
0.1865,-0.1301,0.3157,26.4198,5.7634,-127.7252
0.1814,-0.1755,0.3403,25.5344,4.9237,-144.1145
0.2271,-0.3064,0.3521,24.0076,7.9695,-160.6641
0.2034,-0.5254,0.3630,22.7481,14.2290,-178.0916
0.1379,-0.7129,0.3674,22.2824,21.5725,-194.7328
0.0820,-0.9402,0.3882,21.5802,32.9237,-211.9695
-0.0115,-1.3030,0.4890,24.3817,46.2595,-228.9618
-0.1377,-1.6423,0.4819,28.7405,54.8702,-245.7939
-0.3462,-1.9194,0.5020,35.0229,57.9008,-250.1374
-0.3853,-2.1750,0.5515,42.1145,56.7481,-250.1374
-0.3279,-2.7222,0.4792,51.1756,63.6183,-250.1374
-0.5400,-3.2629,0.4636,62.6489,62.3206,-250.1374
-0.6062,-3.6643,0.4143,76.4504,59.0229,-250.1374
-0.5039,-3.9951,0.3591,86.4275,64.8931,-250.1374
-0.6682,-4.3203,0.2969,98.6947,77.6336,-250.1374
-0.4290,-4.1404,0.0518,109.2366,121.7786,-250.1374
-0.5698,-3.8269,-0.3223,118.0076,175.9008,-220.9466
-1.0803,-3.2625,-0.7451,107.2748,216.8550,-171.5649
-1.1135,-2.3645,-0.7625,89.0992,229.1069,-134.0229
-1.0637,-2.0295,-0.2717,82.0611,223.3053,-95.4657
-1.1357,-1.8176,0.0291,74.2672,203.2977,-60.9695
-1.1301,-1.4233,0.1985,66.3893,173.2901,-35.6489
-1.0918,-1.2788,0.1365,58.7252,138.6336,-17.2901
-0.8103,-1.2031,-0.0103,47.7863,104.5191,0.0305
-0.5786,-1.2444,-0.1562,39.7328,74.2672,9.7710
-0.5210,-1.3257,-0.2646,35.1908,43.8855,16.0687
-0.4944,-1.3796,-0.3462,33.1298,18.0916,21.3969
-0.4985,-1.3579,-0.4226,30.1603,-0.3817,24.7328
-0.6536,-1.3333,-0.5454,23.2824,-5.0992,31.9924
-0.8337,-1.3582,-0.5632,21.7863,-12.1756,36.5115
-0.9192,-1.3208,-0.5564,23.4351,-27.3053,39.4580
-0.8818,-1.2598,-0.5107,26.9466,-42.6794,40.2595
-0.7170,-1.1511,-0.4578,30.3817,-52.9542,39.5038
-0.6038,-1.0105,-0.3994,33.0000,-57.9847,36.6641
-0.4934,-0.8828,-0.3604,35.2137,-59.3893,33.2748
-0.3545,-0.7693,-0.3333,37.1908,-56.8702,28.8015
-0.2390,-0.6562,-0.3037,38.3130,-50.9618,24.2672
-0.1448,-0.5620,-0.2839,38.8168,-43.3435,19.7099
-0.0781,-0.4792,-0.2698,38.1985,-33.9084,15.2443
-0.0347,-0.4124,-0.2600,36.7786,-22.9008,11.1374
-0.0217,-0.3635,-0.2571,34.6794,-11.0229,7.2137
-0.0251,-0.3298,-0.2590,31.9313,1.6489,3.4351
-0.0442,-0.3198,-0.2646,29.0305,14.5725,0.0000
-0.0928,-0.3425,-0.2664,26.3511,25.5725,-3.7710
